index,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
2409,24,1.839961036999739,289.0,100027.0,True,4000,0.7,1000
2410,25,1.916316145001474,289.0,104028.0,True,4000,0.7,1000
2411,26,1.9927194910014805,289.0,108029.0,True,4000,0.7,1000
2412,27,2.069178007001028,289.0,112030.0,True,4000,0.7,1000
2413,28,2.145614494998881,289.0,116031.0,True,4000,0.7,1000
2414,29,2.221895773000142,289.0,120032.0,True,4000,0.7,1000
2415,30,2.298108177001268,289.0,124033.0,True,4000,0.7,1000
2416,31,2.374204052001005,289.0,128034.0,True,4000,0.7,1000
2417,32,2.451012374000129,289.0,132035.0,True,4000,0.7,1000
2418,33,2.527882225000212,291.0,136037.0,True,4000,0.7,1000
2419,34,2.6050896310007374,291.0,140038.0,True,4000,0.7,1000
2420,35,2.6811503339995397,291.0,144039.0,True,4000,0.7,1000
2421,36,2.7577820750011597,291.0,148040.0,True,4000,0.7,1000
2422,37,2.8344339030008996,291.0,152041.0,True,4000,0.7,1000
2423,38,2.9107251599998563,291.0,156042.0,True,4000,0.7,1000
2424,39,2.9868986000001314,291.0,160043.0,True,4000,0.7,1000
2425,40,3.0631685970001854,291.0,164044.0,True,4000,0.7,1000
2426,41,3.1395113250000577,291.0,168045.0,True,4000,0.7,1000
2427,42,3.2153632839981583,291.0,172046.0,True,4000,0.7,1000
2428,43,3.2918968650010356,291.0,176047.0,True,4000,0.7,1000
2429,44,3.3685325080004986,291.0,180048.0,True,4000,0.7,1000
2430,45,3.444589183000062,291.0,184049.0,True,4000,0.7,1000
2431,46,3.5211567570004263,291.0,188050.0,True,4000,0.7,1000
2432,47,3.597994509000273,291.0,192051.0,True,4000,0.7,1000
2433,48,3.674668322000798,292.0,196053.0,True,4000,0.7,1000
2434,49,3.7514102409986663,292.0,200054.0,True,4000,0.7,1000
2435,50,3.8284372630005237,292.0,204055.0,True,4000,0.7,1000
2436,51,3.9044168219988933,292.0,208056.0,True,4000,0.7,1000
2437,52,3.9814340789998823,292.0,212057.0,True,4000,0.7,1000
2438,53,4.057777506001003,293.0,216059.0,True,4000,0.7,1000
2439,54,4.1340562969999155,293.0,220060.0,True,4000,0.7,1000
2440,55,4.210244507001335,293.0,224061.0,True,4000,0.7,1000
2441,56,4.2864700719983375,293.0,228062.0,True,4000,0.7,1000
2442,57,4.363510359999054,293.0,232063.0,True,4000,0.7,1000
2443,58,4.439942476001306,293.0,236064.0,True,4000,0.7,1000
2444,59,4.5161333739997644,293.0,240065.0,True,4000,0.7,1000
2445,60,4.593085840999265,293.0,244066.0,True,4000,0.7,1000
2446,61,4.669316085000901,293.0,248067.0,True,4000,0.7,1000
2447,62,4.745406250000087,293.0,252068.0,True,4000,0.7,1000
2448,63,4.821975753999141,293.0,256069.0,True,4000,0.7,1000
2449,64,4.898545543001092,293.0,260070.0,True,4000,0.7,1000
2450,65,4.974364811001578,293.0,264071.0,True,4000,0.7,1000
2451,66,5.050975850001123,293.0,268072.0,True,4000,0.7,1000
2452,67,5.127130411001417,293.0,272073.0,True,4000,0.7,1000
2453,68,5.203103684998496,293.0,276074.0,True,4000,0.7,1000
2454,69,5.279507597999327,294.0,280076.0,True,4000,0.7,1000
2455,70,5.355641246998857,294.0,284077.0,True,4000,0.7,1000
2456,71,5.431649523001397,294.0,288078.0,True,4000,0.7,1000
2457,72,5.508142462000251,294.0,292079.0,True,4000,0.7,1000
2458,73,5.58453742599886,294.0,296080.0,True,4000,0.7,1000
2459,74,5.660354894000193,294.0,300081.0,True,4000,0.7,1000
2460,75,5.736407159998635,294.0,304082.0,True,4000,0.7,1000
2461,76,5.812621040000522,294.0,308083.0,True,4000,0.7,1000
2462,77,5.888923077000072,294.0,312084.0,True,4000,0.7,1000
2463,78,5.964969420998386,294.0,316085.0,True,4000,0.7,1000
2464,79,6.041304238999146,294.0,320086.0,True,4000,0.7,1000
2465,80,6.11771678399964,294.0,324087.0,True,4000,0.7,1000
2466,81,6.1941200159999426,294.0,328088.0,True,4000,0.7,1000
2467,82,6.2705098320002435,294.0,332089.0,True,4000,0.7,1000
2468,83,6.346283432998462,294.0,336090.0,True,4000,0.7,1000
2469,84,6.422918157000822,294.0,340091.0,True,4000,0.7,1000
2470,85,6.499676097999327,294.0,344092.0,True,4000,0.7,1000
2471,86,6.576387597000576,294.0,348093.0,True,4000,0.7,1000
2472,87,6.652733986000385,294.0,352094.0,True,4000,0.7,1000
2473,88,6.729461109000113,294.0,356095.0,True,4000,0.7,1000
2474,89,6.806572794001113,294.0,360096.0,True,4000,0.7,1000
2475,90,6.884008717999677,294.0,364097.0,True,4000,0.7,1000
2476,91,6.961255318998155,294.0,368098.0,True,4000,0.7,1000
2477,92,7.038252768001257,294.0,372099.0,True,4000,0.7,1000
2478,93,7.115559927999129,294.0,376100.0,True,4000,0.7,1000
2479,94,7.192528662999393,294.0,380101.0,True,4000,0.7,1000
2480,95,7.26973994799846,294.0,384102.0,True,4000,0.7,1000
2481,96,7.3471752219993505,294.0,388103.0,True,4000,0.7,1000
2482,97,7.424332845999743,294.0,392104.0,True,4000,0.7,1000
2483,98,7.501542589001474,294.0,396105.0,True,4000,0.7,1000
2484,99,7.578886544000852,294.0,400106.0,True,4000,0.7,1000
2485,100,7.655719096001121,294.0,404107.0,True,4000,0.7,1000
2486,101,7.732940898000379,294.0,408108.0,True,4000,0.7,1000
2487,102,0.01006367800073349,294.0,412109.0,True,4000,0.7,1000
2488,103,0.10068984600002295,294.0,416110.0,True,4000,0.7,1000
2489,104,0.18545478600208298,294.0,420111.0,True,4000,0.7,1000
2490,105,0.2719517330006056,294.0,424112.0,True,4000,0.7,1000
2491,106,0.349467996002204,294.0,428113.0,True,4000,0.7,1000
2492,107,0.4249915370019153,294.0,432114.0,True,4000,0.7,1000
2493,108,0.5032806780000101,294.0,436115.0,True,4000,0.7,1000
2494,109,0.5811311130019021,294.0,440116.0,True,4000,0.7,1000
2495,110,0.6590143540015561,294.0,444117.0,True,4000,0.7,1000
2496,111,0.7355140399995435,294.0,448118.0,True,4000,0.7,1000
